#	GenericArch scaffold layout — what a NEW repo gets, and where each piece comes from.
#	Read by Scripts/ga-scaffold.sh. Never installed into an existing repo: an existing repo already
#	has a structure, and imposing this one on it is the adoption mistake /project-init exists to avoid.
#
#	  awk -F'\t' '$3=="base"' Scaffold/LAYOUT.tsv        what every new repo gets
#	  awk -F'\t' '$3=="auth"' Scaffold/LAYOUT.tsv        what --with auth adds
#
#	Columns: path	kind	group	source	purpose
#	  kind    dir | file
#	  group   base (always) | navigation | auth | design | storage | networking | messaging
#	  source  dir                       just create it
#	          copy:<path>               copy that path out of GenericArch — a real, tested package
#	          tmpl:<name>               render Scaffold/templates/<name>.tmpl
#	          doc:<path>                the module doc for this layer, copied or fetched
#	A row's parent directories are created implicitly. Order is the order they are created in.

# ── The shells ─────────────────────────────────────────────────────────────
App	dir	base	dir	Thin app shells. @main, composition root, no logic (CLAUDE.md §3)
App/iOS	dir	base	dir	The iOS/iPadOS target
App/iOS/README.md	file	base	tmpl:readme-app-ios	What belongs in the iOS shell, and what does not
App/macOS	dir	base	dir	The native macOS target — no Mac Catalyst (CLAUDE.md §1)
App/macOS/README.md	file	base	tmpl:readme-app-macos	What belongs in the macOS shell, and what does not

# ── The floor: two real packages, not stubs ────────────────────────────────
Packages/Core	dir	base	copy:Packages/Core	Protocols, models, errors. Zero dependencies — everything depends on it, it depends on nothing
Packages/DIKit	dir	base	copy:Packages/DIKit	The typed dependency registry: liveValue for the app, testValue for tests
docs/modules/Core.md	file	base	doc:docs/modules/Core.md	Read before adding a shared protocol, model or content state
docs/modules/DIKit.md	file	base	doc:docs/modules/DIKit.md	Read before registering a dependency or overriding one in a test

# ── Where features go ──────────────────────────────────────────────────────
Packages/CLAUDE.md	file	base	copy:Packages/CLAUDE.md	The rules that bind inside Packages/ — read once, then it costs nothing per session
Packages/FLOORS.md	file	base	tmpl:notes-floors	How to choose the deployment floors — nothing writes a version for you
Packages/Features	dir	base	dir	One local package per feature. No feature imports another (CLAUDE.md §2.1)
Packages/Features/README.md	file	base	tmpl:readme-features	How a feature package is shaped, and the four things every one ships

# ── DesignSystem ───────────────────────────────────────────────────────────
Packages/DesignSystem	dir	design	tmpl:package-infra	Tokens and components. The only place #if os(...) may appear
Packages/DesignSystem/Sources/DesignSystem/Placeholder.swift	file	design	tmpl:source-placeholder	Delete once the first real component lands
docs/modules/DesignSystem.md	file	design	doc:docs/modules/DesignSystem.md	Read before writing any view, token or platform branch

# ── Navigation ─────────────────────────────────────────────────────────────
Packages/Navigation	dir	navigation	tmpl:package-infra	Route values, stacks, deep links, state restoration
Packages/Navigation/Sources/Navigation/Route.swift	file	navigation	tmpl:source-route	The one Route enum every feature navigates by — a value, never a view
docs/modules/Navigation.md	file	navigation	doc:docs/modules/Navigation.md	Read before adding a screen, deep link or split view

# ── Authentication ─────────────────────────────────────────────────────────
Packages/Features/FeatureAuth	dir	auth	tmpl:package-feature	Sign-in and session state as a feature, not a singleton
Packages/Features/FeatureAuth/Sources/FeatureAuth/Placeholder.swift	file	auth	tmpl:source-placeholder	Delete once the first real screen lands
Packages/Features/FeatureAuth/AUTH-NOTES.md	file	auth	tmpl:notes-auth	The five decisions authentication forces, and what each one costs

# ── Storage ────────────────────────────────────────────────────────────────
Packages/StorageKit	dir	storage	tmpl:package-infra	Persistence and Keychain behind protocols
Packages/StorageKit/Sources/StorageKit/Placeholder.swift	file	storage	tmpl:source-placeholder	Delete once the first store lands
docs/modules/StorageKit.md	file	storage	doc:docs/modules/StorageKit.md	Read before storing anything on disk, or a secret

# ── Networking ─────────────────────────────────────────────────────────────
docs/modules/NetworkKit.md	file	networking	doc:docs/modules/NetworkKit.md	NetworkKit is an EXTRACTED package — add it to Package.swift, never copy its source

# ── Messaging ──────────────────────────────────────────────────────────────
Packages/Messaging	dir	messaging	tmpl:package-infra	One presenter for every alert, toast and confirmation (CLAUDE.md §2.4)
Packages/Messaging/Sources/Messaging/Placeholder.swift	file	messaging	tmpl:source-placeholder	Delete once the first surface lands
docs/modules/Messaging.md	file	messaging	doc:docs/modules/Messaging.md	Read before adding any message or error surface
